P40,,,GND,,,,,,,,,,
P41,,IOB,,UNUSED,,(0,6)***,,,,,,,
P42,,IOB,,UNUSED,,(0,6)***,,,,,,,
P43,,IOB,,UNUSED,,(0,6)***,,,,,,,
P44,,IOB,,UNUSED,,(0,6)***,,,,,,,
P45,,IOB,IO_VREF_6,UNUSED,,(0,6)***,,,,,,,
P46,,IOB,,UNUSED,,(0,6)***,,,,,,,
P47,,IOB,,UNUSED,,(0,6)***,,,,,,,
P48,,IOB,,UNUSED,,(0,6)***,,,,,,,
P49,,IOB,,UNUSED,,(0,6)***,,,,,,,
P50,,,M1,,,,,,,,,,
P51,,,GND,,,,,,,,,,
P52,,,M0,,,,,,,,,,
P53,,,VCCO,,,0,,,,,3.30,,
P54,,,M2,,,,,,,,,,
P55,,,NC,,,,,,,,,,
P56,,,NC,,,,,,,,,,
P57,,IOB,,UNUSED,,(0,5)***,,,,,,,
P58,,IOB,,UNUSED,,(0,5)***,,,,,,,
P59,,IOB,IO_VREF_5,UNUSED,,(0,5)***,,,,,,,
P60,,IOB,,UNUSED,,(0,5)***,,,,,,,
P61,,IOB,,UNUSED,,(0,5)***,,,,,,,
P62,,IOB,,UNUSED,,(0,5)***,,,,,,,
P63,,IOB,,UNUSED,,(0,5)***,,,,,,,
P64,,,GND,,,,,,,,,,
P65,,,VCCO,,,0,,,,,3.30,,
P66,,,VCCINT,,,,,,,,2.5,,
P67,,IOB,,UNUSED,,(0,5)***,,,,,,,
P68,,IOB,,UNUSED,,(0,5)***,,,,,,,
P69,,IOB,,UNUSED,,(0,5)***,,,,,,,
P70,tsigno,IOB,,OUTPUT,LVTTL,(0,5)***,12,SLOW,NONE**,,,,
P71,,IOB,,UNUSED,,(0,5)***,,,,,,,
P72,,,GND,,,,,,,,,,
P73,tvalueo<4>,IOB,IO_VREF_5,OUTPUT,LVTTL,(0,5)***,12,SLOW,NONE**,,,,
P74,,IOB,,UNUSED,,(0,5)***,,,,,,,
P75,tvalueo<5>,IOB,,OUTPUT,LVTTL,(0,5)***,12,SLOW,NONE**,,,,
P76,,,VCCINT,,,,,,,,2.5,,
P77,clk,GCLKIOB,GCK1,INPUT,LVTTL,(0,5)***,,,,,,LOCATED,
P78,,,VCCO,,,0,,,,,3.30,,
P79,,,GND,,,,,,,,,,
P80,,GCLKIOB,GCK0,UNUSED,,(0,4)***,,,,,,,
P81,tsign,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P82,tvalue<6>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P83,tvalue<5>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P84,tvalue<4>,IOB,IO_VREF_4,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P85,,,GND,,,,,,,,,,
P86,tvalue<3>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P87,tvalue<2>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P88,tvalue<1>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P89,tvalue<0>,IOB,,INPUT,LVTTL,(0,4)***,,,NONE**,NONE,,LOCATED,
P90,tvalueo<3>,IOB,,OUTPUT,LVTTL,(0,4)***,12,SLOW,NONE**,,,,
P91,,,VCCINT,,,,,,,,2.5,,
P92,,,VCCO,,,0,,,,,3.30,,
P93,,,GND,,,,,,,,,,
P94,tvalueo<1>,IOB,,OUTPUT,LVTTL,(0,4)***,12,SLOW,NONE**,,,,
P95,tvalueo<0>,IOB,,OUTPUT,LVTTL,(0,4)***,12,SLOW,NONE**,,,,
P96,tvalueo<6>,IOB,,OUTPUT,LVTTL,(0,4)***,12,SLOW,NONE**,,,,
P97,tvalueo<2>,IOB,,OUTPUT,LVTTL,(0,4)***,12,SLOW,NONE**,,,,
P98,,IOB,IO_VREF_4,UNUSED,,(0,4)***,,,,,,,
P99,,IOB,,UNUSED,,(0,4)***,,,,,,,
P100,,IOB,,UNUSED,,(0,4)***,,,,,,,
P101,,IOB,,UNUSED,,(0,4)***,,,,,,,
P102,,IOB,,UNUSED,,(0,4)***,,,,,,,
P103,,,GND,,,,,,,,,,
P104,,,DONE,,,,,,,,,,
P105,,,VCCO,,,0,,,,,3.30,,
P106,,,PROGRAM,,,,,,,,,,
P107,,IOB,IO_INIT,UNUSED,,(0,3)***,,,,,,,
P108,,IOB,IO_D7,UNUSED,,(0,3)***,,,,,,,
P109,,IOB,,UNUSED,,(0,3)***,,,,,,,
P110,,IOB,,UNUSED,,(0,3)***,,,,,,,
P111,,IOB,IO_VREF_3,UNUSED,,(0,3)***,,,,,,,
P112,,IOB,,UNUSED,,(0,3)***,,,,,,,
P113,,IOB,,UNUSED,,(0,3)***,,,,,,,
P114,,IOB,,UNUSED,,(0,3)***,,,,,,,
P115,,IOB,IO_D6,UNUSED,,(0,3)***,,,,,,,
P116,,,GND,,,,,,,,,,
P117,,,VCCO,,,0,,,,,3.30,,
P118,,,VCCINT,,,,,,,,2.5,,
P119,,IOB,IO_D5,UNUSED,,(0,3)***,,,,,,,
P120,,IOB,,UNUSED,,(0,3)***,,,,,,,
P121,,IOB,,UNUSED,,(0,3)***,,,,,,,
P122,,IOB,,UNUSED,,(0,3)***,,,,,,,
P123,,IOB,,UNUSED,,(0,3)***,,,,,,,
P124,,,GND,,,,,,,,,,
P125,,IOB,IO_VREF_3,UNUSED,,(0,3)***,,,,,,,
P126,,IOB,IO_D4,UNUSED,,(0,3)***,,,,,,,
P127,,IOB,,UNUSED,,(0,3)***,,,,,,,
P128,,,VCCINT,,,,,,,,2.5,,
P129,,PCIIOB,IO_TRDY,UNUSED,,(0,3)***,,,,,,,
P130,,,VCCO,,,0,,,,,3.30,,
P131,,,GND,,,,,,,,,,
P132,,PCIIOB,IO_IRDY,UNUSED,,(0,2)***,,,,,,,
P133,,IOB,,UNUSED,,(0,2)***,,,,,,,
P134,,IOB,,UNUSED,,(0,2)***,,,,,,,
P135,,IOB,IO_D3,UNUSED,,(0,2)***,,,,,,,
P136,,IOB,IO_VREF_2,UNUSED,,(0,2)***,,,,,,,
P137,,,GND,,,,,,,,,,
P138,,IOB,,UNUSED,,(0,2)***,,,,,,,
P139,,IOB,,UNUSED,,(0,2)***,,,,,,,
P140,,IOB,,UNUSED,,(0,2)***,,,,,,,
P141,,IOB,,UNUSED,,(0,2)***,,,,,,,
P142,,IOB,IO_D2,UNUSED,,(0,2)***,,,,,,,
P143,,,VCCINT,,,,,,,,2.5,,
P144,,,VCCO,,,0,,,,,3.30,,
P145,,,GND,,,,,,,,,,
P146,,IOB,IO_D1,UNUSED,,(0,2)***,,,,,,,
P147,,IOB,,UNUSED,,(0,2)***,,,,,,,
P148,,IOB,,UNUSED,,(0,2)***,,,,,,,
P149,,IOB,,UNUSED,,(0,2)***,,,,,,,
P150,,IOB,IO_VREF_2,UNUSED,,(0,2)***,,,,,,,
P151,,IOB,,UNUSED,,(0,2)***,,,,,,,
P152,,IOB,,UNUSED,,(0,2)***,,,,,,,
P153,,IOB,IO_DIN_D0,UNUSED,,(0,2)***,,,,,,,
P154,,IOB,IO_DOUT_BUSY,UNUSED,,(0,2)***,,,,,,,
P155,,,CCLK,,,,,,,,,,
P156,,,VCCO,,,0,,,,,3.30,,
P157,,,TDO,,,,,,,,,,
P158,,,GND,,,,,,,,,,
P159,,,TDI,,,,,,,,,,
P160,,IOB,IO_CS,UNUSED,,(0,1)***,,,,,,,
P161,,IOB,IO_WRITE,UNUSED,,(0,1)***,,,,,,,
P162,voltageo<4>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P163,voltage<6>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P164,voltage<7>,IOB,IO_VREF_1,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P165,voltage<4>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P166,voltage<5>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P167,voltage<2>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P168,voltage<3>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P169,,,GND,,,,,,,,,,
P170,,,VCCO,,,0,,,,,3.30,,
P171,,,VCCINT,,,,,,,,2.5,,
P172,voltage<0>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P173,voltage<1>,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P174,voltageo<2>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P175,voltageo<5>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P176,voltageo<6>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P177,,,GND,,,,,,,,,,
P178,intro,IOB,IO_VREF_1,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P179,voltageo<7>,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,,
P180,intr,IOB,,INPUT,LVTTL,(0,1)***,,,NONE**,IFD,,LOCATED,
P181,rd,IOB,,OUTPUT,LVTTL,(0,1)***,12,SLOW,NONE**,,,LOCATED,
P182,,GCLKIOB,GCK2,UNUSED,,(0,1)***,,,,,,,
P183,,,GND,,,,,,,,,,
P184,,,VCCO,,,0,,,,,3.30,,
P185,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,
P186,,,VCCINT,,,,,,,,2.5,,
P187,wr,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,
P188,cs,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,LOCATED,
P189,voltageo<1>,IOB,IO_VREF_0,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P190,,,GND,,,,,,,,,,
P191,voltageo<3>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P192,voltageo<0>,IOB,,OUTPUT,LVTTL,0,12,SLOW,NONE**,,,,
P193,,IOB,,UNUSED,,0,,,,,,,
P194,,IOB,,UNUSED,,0,,,,,,,
P195,,IOB,,UNUSED,,0,,,,,,,
P196,,,VCCINT,,,,,,,,2.5,,
P197,,,VCCO,,,0,,,,,3.30,,
P198,,,GND,,,,,,,,,,
P199,,IOB,,UNUSED,,0,,,,,,,
P200,,IOB,,UNUSED,,0,,,,,,,
P201,,IOB,,UNUSED,,0,,,,,,,
P202,,IOB,,UNUSED,,0,,,,,,,
P203,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,
P204,,IOB,,UNUSED,,0,,,,,,,
P205,,IOB,,UNUSED,,0,,,,,,,
P206,,IOB,,UNUSED,,0,,,,,,,
P207,,,TCK,,,,,,,,,,
P208,,,VCCO,,,0,,,,,3.30,,

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,

* Default value.
** This default Pullup/Pulldown value can be overridden in Bitgen.
*** In some smaller packages, the VCCO bank number of a pin may trail
     the VREF bank number (VCCO,VREF).

